COOPID,WBNID,CD,ELEM,UN,YEAR,A,S,MO,DA,  JAN ,F,F,MO,DA,  FEB ,F,F,MO,DA,  MAR ,F,F,MO,DA,  APR ,F,F,MO,DA,  MAY ,F,F,MO,DA,  JUN ,F,F,MO,DA,  JUL ,F,F,MO,DA,  AUG ,F,F,MO,DA,  SEP ,F,F,MO,DA,  OCT ,F,F,MO,DA,  NOV ,F,F,MO,DA,  DEC ,F,F,MO,DA,ANNUAL,F,F
040693,99999,10,TPCP,HI,1919,9,9,01,00, 00209, , ,02,00, 01085, , ,03,00, 00270, , ,04,00, 00013, , ,05,00, 00002, , ,06,00, 00000,T, ,07,00, 00000,T, ,08,00, 00000,T, ,09,00, 00090, , ,10,00, 00034, , ,11,00, 00044, , ,12,00, 00342, , ,13,99,-99999,M, 
040693,99999,10,TPCP,HI,1920,9,9,01,00, 00083, , ,02,00, 00112, , ,03,00, 00389, , ,04,00, 00162, , ,05,00, 00000, , ,06,00, 00025, , ,07,00, 00000, , ,08,00, 00000, , ,09,00, 00028, , ,10,00, 00184, , ,11,00, 00357, , ,12,00, 00697, , ,13,99,-99999,M, 
040693,99999,10,TPCP,HI,1921,9,9,01,00, 00731, , ,02,00, 00154, , ,03,00, 00171, , ,04,00, 00091, , ,05,00, 00072, , ,06,00, 00000, , ,07,00, 00000, , ,08,00, 00000, , ,09,00, 00017, , ,10,00, 00072, , ,11,00, 00166, , ,12,00, 00848, , ,13,99,-99999,M, 
040693,99999,10,TPCP,HI,1922,9,9,01,00, 00374, , ,02,00, 00631, , ,03,00, 00259, , ,04,00, 00067, , ,05,00, 00088, , ,06,00, 00024, , ,07,00, 00000,T, ,08,00, 00000,T, ,09,00, 00000, , ,10,00, 00290, , ,11,00, 00428, , ,12,00, 00849, , ,13,99,-99999,M, 
040693,99999,10,TPCP,HI,1923,9,9,01,00, 00342, , ,02,00, 00094, , ,03,00, 00003, , ,04,00, 00340, , ,05,00, 00003, , ,06,00, 00030, , ,07,00, 00000, , ,08,00, 00003, , ,09,00, 00039, , ,10,00, 00074, , ,11,00, 00059, , ,12,00, 00204, , ,13,99,-99999,M, 
040693,99999,10,TPCP,HI,1924,9,9,01,00, 00253, , ,02,00, 00319, , ,03,00, 00187, , ,04,00, 00019, , ,05,00, 00000, , ,06,00, 00000,T, ,07,00, 00000, , ,08,00, 00001, , ,09,00, 00000, , ,10,00, 00268, , ,11,00, 00152, , ,12,00, 00463, , ,13,99,-99999,M, 
040693,99999,10,TPCP,HI,1925,9,9,01,00, 00118, , ,02,00, 01041, , ,03,00, 00266, , ,04,00, 00238, , ,05,00, 00318, , ,06,00, 00002, , ,07,00, 00011, , ,08,00, 00000, , ,09,00, 00046, , ,10,00, 00016, , ,11,00, 00169, , ,12,00, 00130, , ,13,99,-99999,M, 
040693,99999,10,TPCP,HI,1926,9,9,01,00, 00495, , ,02,00, 00388, , ,03,00, 00005, , ,04,00, 00438, , ,05,00, 00019, , ,06,00, 00000, , ,07,00, 00000, , ,08,00, 00004, , ,09,00, 00000,T, ,10,00, 00233, , ,11,00, 00734, , ,12,00, 00080, , ,13,99,-99999,M, 
040693,99999,10,TPCP,HI,1927,9,9,01,00, 00301, , ,02,00, 00655, , ,03,00, 00259, , ,04,00, 00219, , ,05,00, 00013, , ,06,00, 00035, , ,07,00, 00000,T, ,08,00, 00000,T, ,09,00, 00001, , ,10,00, 00172, , ,11,00, 00272, , ,12,00, 00261, , ,13,99,-99999,M, 
040693,99999,10,TPCP,HI,1928,9,9,01,00, 00178, , ,02,00, 00157, , ,03,00, 00440, , ,04,00, 00131, , ,05,00, 00036, , ,06,00, 00000, , ,07,00, 00000, , ,08,00, 00000, , ,09,00, 00025, , ,10,00, 00009, , ,11,00, 00257, , ,12,00, 00382, , ,13,99,-99999,M, 
040693,99999,10,TPCP,HI,1929,9,9,01,00, 00090, , ,02,00, 00145, , ,03,00, 00175, , ,04,00, 00126, , ,05,00, 00003, , ,06,00, 00119, , ,07,00, 00000, , ,08,00, 00000, , ,09,00, 00000,T, ,10,00, 00008, , ,11,00, 00000, , ,12,00, 00322, , ,13,99,-99999,M, 
040693,99999,10,TPCP,HI,1930,9,9,01,00, 00419, , ,02,00, 00237, , ,03,00, 00284, , ,04,00, 00150, , ,05,00, 00026, , ,06,00, 00000, , ,07,00, 00000, , ,08,00, 00000, , ,09,00, 00014, , ,10,99,-99999,M, ,11,00, 00106, , ,12,00, 00065, , ,13,99,-99999,M, 
040693,99999,04,TPCP,HI,1931,9,9,01,00, 00426, , ,02,00, 00117, , ,03,00, 00161, , ,04,00, 00045, , ,05,00, 00150, , ,06,00, 00086, , ,07,00, 00000,T, ,08,00, 00000, , ,09,00, 00001, , ,10,00, 00070, , ,11,00, 00317, , ,12,00, 00768, , ,13,99,-99999,M, 
040693,99999,04,TPCP,HI,1932,9,9,01,00, 00201, , ,02,00, 00270, , ,03,00, 00110, , ,04,00, 00093, , ,05,00, 00049, , ,06,00, 00003, , ,07,00, 00000,T, ,08,00, 00000, , ,09,00, 00000, , ,10,00, 00000,T, ,11,00, 00060, , ,12,00, 00245, , ,13,99,-99999,M, 
040693,99999,04,TPCP,HI,1933,9,9,01,00, 00669, , ,02,00, 00102, , ,03,00, 00306, , ,04,00, 00000,T, ,05,00, 00175, , ,06,00, 00000,T, ,07,00, 00000, , ,08,00, 00000, , ,09,00, 00020, , ,10,00, 00306, , ,11,00, 00000, , ,12,00, 00489, , ,13,99,-99999,M, 
